cluster_name,description
black,GREY/BLACK
black,BLACK
black,ROYAL/BLACK
black,NAVY/BLACK
black,BLACK/WHITE
black,COAL / BLACK
black,ARMY/BLACK
black,BLACK HEATHER
black,BLACK/BLACK HEATHER
black,ECO BLACK
black,BLACK/WHITE STRIPE
black,ECO TRUE BLACK
black,WASHED BLACK
black,SPOT ON ODYSSEY/BLACK
black,SPOT ON GREY/BLACK
black,GRANITE HEATHER/BLACK
black,SPOT ON PLUM DREAM/BLACK
black,BLACK/GRANITE
black,BLACK/GRANITE HEATHER/WHITE
black,STEALTH/BLACK
black,BLACK/BLACK
black,BLACK 50R PE HEATHER
black,ECO BLACK/ECO GREY
black,BLACK/GREY GLITCH STRIPE
black,AMARANTH HTR/BLACK
black,WHITE/BLACK
black,OXFORD GREY HTR/WHITE/BLACK
black,SURF THE WEB/BLACK
black,ATHLETIC ROYAL/BLACK
black,SCARLET/BLACK
black,STONE GRAY/BLACK
black,Y07758/BLACK
black,Y07753/BLACK
black,VINTAGE BLACK
black,ECO GREY/ ECO TRUE BLACK
black,ECO BLACK/ECO TRUE BLACK
black,Y07746/BLACK
black,Y07751/BLACK
black,Y07754/BLACK
black,Y07200/BLACK
black,Y07180/BLACK
black,ECO BLACK CLASSIC STRIPE
black,Y07747/BLACK
black,Y06339/BLACK
black,Y07791/BLACK PE HEATHER
black,BLACK PE HEATHER
black,Y07738/BLACK
black,TRUE BLACK
black,ECO GREY/ ECO BLACK
black,VINTAGE COAL / BLACK
black,Y06492/BLACK
black,Y06471/BLACK
black,Y06530/BLACK
black,Y06776/BLACK
black,Y07799/BLACK
black,BLACK HEATHER TRIBLEND
black,BLACK/NICKEL
black,BLACK/SMOKEGREY
black,ECO IVORY/ECO BLACK
black,HEATHER BLACK
black,GREY HEATHER/BLACK
black,Y06902/BLACK W/NAT STRIPE
black,ECO BLACK/ECO IVORY
black,SOLID BLACK TRIBLEND
black,ECO GREY/ BLACK
black,OXFORD GRAY/BLACK
black,ECO BLACK/ BLACK JUMBO STARS
black,Y06903/BLACK W/NAT STRIPE
black,ECO BLACK / URBAN GREY
black,BLACK SPACEDYE
black,ECO GREY-ECO BLACK-ECO IVORY
black,ECO LIGHT GREY / ECO BLACK
black,BLACK / WHITE / SMOKE GREY
black,EARTH BLACK
black,BLACK STARS & STRIPES
black,ECOLIGHT GREY/ECOGREY/ECOBLACK
black,BLACK REACTIVE
black,Y06958/BLACK 50R
black,BLACKBERRY CORDIAL HTR
black,BLACK-WHITE-HEATHER GREY
black,NATURAL/BLACK
black,BLACK 50R HEATHER
black,RICH BLACK
grey,NATURAL/GREY
grey,COOL GREY
grey,OXFORD GRAY/OATMEAL HTR
grey,DADA GRAY PE HEATHER
grey,DADA GREY HEATHER
grey,OATMEAL HTR/OXFORD GRAY
grey,DADA GREY/BLK
grey,GREY HEATHER
grey,ELEPHANT GREY PIGMENT
grey,ECO GREY
grey,HEATHER GREY
grey,DARK GREY LEOPARD
grey,SMOKE GREY
grey,GREY STORM
grey,EARTH GREY
grey,LIGHT GREY
grey,OXFORD GRAY
grey,WINGSPAN GREY
grey,DADA GREY/DADA GREY HEATHER
grey,DADA GREY
grey,TREKKING GREY
grey,ECO LIGHT GREY/ ECO GREY
grey,ECOGREY/ECLTGRY
grey,ATHLETIC GRAY
grey,DADA GREY BURSTS
grey,RAILROAD GRAY
grey,SPOT ON GREY
grey,TINTED CARBON GREY HEATHER
grey,OXFORD HTR/MEDIUM GRAY
grey,NEW RAILROAD GRAY
grey,ECO LIGHT GREY
grey,ECO LIGHT GREY/ECOTRUE CURRANT
grey,SMOKE GRAY
grey,NAVY/STONE GRAY
grey,CONCRETE GRAY
grey,ECO GREY CLASSIC STRIPE
grey,SILVER GRAY
grey,LIGHT GREY CAMO
grey,DARK HEATHER GREY
grey,GFS SILVER GREY
grey,ECO GREY STARS
grey,ECO GREY/ ECO TRUE NAVY
grey,ECO LIGHTGREY/ECOTRUEDUSTYPINE
grey,VINTAGE GRAY
grey,STONE GRAY
grey,ECO TRUE NAVY/ECO GREY
grey,DARK GREY
grey,SMOKE GREY / PORCELAIN
grey,PEBBLE GREY DREAMY STARS
grey,LAVENDER GREY
grey,ECOIVORY&ECGREY
grey,ECO GREY/CAMO
grey,URBAN GREY
grey,OXFORD GRAY/SLATE HEATHER
grey,ECO LIGHT GREY CLASSIC STRIPE
grey,OXFORD GREY HEATHER
grey,SMOKE GREY / VINTAGE COAL
grey,GREY WILD ROSES
grey,DUBLIN GREY HEATHER
grey,SLATE GRAY HEATHER
grey,GREY PIGMENT
grey,EARTH GREY/ EARTH COAL
grey,OXFORD GRAY HEATHER
grey,OXFORD GRAY/NAVY
grey,Y06902/OXFORD GRAY W/NT STRPE
grey,CAMO/ECO GREY
grey,Y06903/ OXFORD GRAY W/NT STRPE
grey,GREY STARS
grey,ECO IVORY / ECO GREY
grey,ECO GREY/ECO IVORY
grey,GREY CAMO
grey,OXFORD GRAY/SCARLET
grey,DADA GREY SPACEDYE
grey,DARK GREY HEATHER
grey,LIGHT GREY HEAT
grey,Y06775/DADA GREY PE HEATHER
grey,OXFORD GRAY/NAVY HEATHER
grey,ECO GREY/CAMO NECKBAND
grey,GREY TIE DYE
grey,ETRUBK/URBNGREY
grey,ECO LAVENDER GREY
grey,OXFORD GREY HTR/GRANITE HTR
grey,GREY DREAMY STARS
grey,SLATE GRAY HTR
grey,STONE GRAY CAMO
grey,ECO LIGHT GREY RIVIERA STRIPE
grey,ELEPHANT GREY
grey,OXFORD GREY/GRANITE HEATHER
grey,OXFORD GREY/SCARLET
grey,OXFORD GRAY HTR
grey,VNTLAVENDERGREY
grey,OXFORD GREY
grey,COOL GREY/NAVY
grey,LT GREY PE HEATHER
grey,LIGHT HEATHER GREY
grey,DADA GRAY CROSSDYE
brown,TAN/BROWN
brown,ARMY BROWN
brown,ECTRNUTMEGBROWN
brown,TOFFEE BROWN
brown,BROWN SUGAR OMBRE
brown,BROWN SUGAR
brown,ACORN BROWN PE HEATHER
brown,SLATE BROWN
brown,COCOA BROWN
brown,ACORN BROWN
red,RED
red,NAVY/RED/WHITE
red,RED/WHITE
red,WHITE/RED
red,RED/BLACK
red,CARMINE RED HEATHER
red,ECO TRUE RED
red,ECO REDWOOD
red,NANTUCKET RED
red,RED RIVER CLAY PE HEATHER
red,RED RIVER CLAY
red,DEEP RED
red,TEAM RED SCARLET
red,Y07749/BEST RED
red,Y07736/BEST RED
red,Y07756/BEST RED
red,ECWHITE/ECTRRED
red,ECO TRUE NAVY / ECO TRUE RED
red,APPLE RED
red,Y07287/RED
red,ECOWHITE/ECOTRUENAVY/ECOTRURED
red,ECO GREY/ ECO TRUE RED
red,Y06490/BEST RED
red,VINTAGE RED
red,Y07737/BEST RED
